Entity,Code,Year,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
Bahamas,BHS,2000,23,1.41538462,11.22171607,7.71680014
Bahamas,BHS,2001,19,1.08882521,8.4494533,6.27854259
Bahamas,BHS,2011,36,1.7005196,11.83608855,10.01173598
Bahamas,BHS,2010,36,1.77953534,12.55625037,10.14250216
Bahamas,BHS,2014,22,1.01899027,6.39159577,5.93579093
Bahamas,BHS,2012,24,1.20421475,8.01021613,6.60095054
Bahamas,BHS,2013,24,1.1622276,7.61485456,6.53649954
Bahrain,BHR,2000,41,2.01672405,19.33051507,6.16902218
Bahrain,BHR,2002,55,2.7027027,23.84098872,7.48150707
Bahrain,BHR,2003,55,2.61034646,20.45494777,7.06298125
Bahrain,BHR,2001,50,2.52652855,21.92996911,7.16799633
Bahrain,BHR,2005,41,1.8510158,12.31842394,4.61273294
Bahrain,BHR,2004,48,2.17391304,18.85653078,5.78421968
Bahrain,BHR,2006,42,1.81268882,12.24818691,4.37307767
Bahrain,BHR,2007,37,1.62995595,10.45807934,3.56008852
Bahrain,BHR,2008,49,2.05020921,13.30839739,4.44043295
Bahrain,BHR,2009,32,1.34059489,9.62064516,2.71551194
Bahrain,BHR,2010,40,1.66597251,11.50755146,3.25657319
Bahrain,BHR,2011,41,1.62247725,10.72122253,3.43090492
Bahrain,BHR,2012,31,1.18637581,8.7060585,2.38471811
Bahrain,BHR,2014,28,1.03896104,4.62798094,2.12998702
Bahrain,BHR,2013,35,1.36239782,7.3983422,2.66154029
Barbados,BRB,2000,20,0.82338411,5.86821257,7.36607554
Barbados,BRB,2001,14,0.81775701,3.78883841,5.13761468
Barbados,BRB,2003,26,0.98187311,6.86569112,9.47767097
Barbados,BRB,2002,19,0.84821429,5.85407417,6.94888909
Barbados,BRB,2004,20,0.86730269,5.28805016,7.26522428
Barbados,BRB,2006,15,0.64488392,4.01850686,5.40585346
Barbados,BRB,2007,18,0.76206605,4.42213703,6.45855759
Barbados,BRB,2005,27,1.07870555,6.69910746,9.77117359
Barbados,BRB,2009,27,1.14261532,6.85877299,9.60498606
Barbados,BRB,2008,21,0.87064677,4.92498336,7.50144671
Barbados,BRB,2010,27,1.19205298,6.5580539,9.57002244
Barbados,BRB,2011,32,1.3147083,6.84981467,11.30793994
Barbados,BRB,2013,27,1.084773,5.85701313,9.49714382
Barbados,BRB,2012,32,1.37575236,7.76484567,11.27948086
Belarus,BLR,2003,3572,2.49436115,25.32019812,36.17645278
Belarus,BLR,2001,3704,2.64007584,26.14915115,37.14889083
Belarus,BLR,2000,3707,2.74863384,26.53246929,37.0516298
Belarus,BLR,2009,3172,2.34794259,22.20142761,32.80886046
Belarus,BLR,2002,3663,2.49764759,25.92973342,36.90767117
Belarus,BLR,2008,3267,2.44026322,22.82958321,33.74706805
Belarus,BLR,2007,3252,2.44524148,22.74927267,33.51846133
Belarus,BLR,2014,2889,2.37695611,19.25215881,30.49233887
Belarus,BLR,2010,3280,2.39185602,22.51094511,34.56057441
Belarus,BLR,2011,3142,2.32585684,21.65635085,33.1673488
Belarus,BLR,2013,2816,2.24693998,19.0428671,29.74858327
Belgium,BEL,2000,6240,5.95277844,35.12336574,60.87062553
Belgium,BEL,2001,6243,6.06163586,35.08572026,60.6907842
Belgium,BEL,2002,6208,5.89620849,34.08770576,60.0806075
Belgium,BEL,2003,6174,5.81306669,33.47728239,59.5019387
Belgium,BEL,2004,6105,6.02927234,32.44133589,58.58286186
Belgium,BEL,2005,6422,6.23894923,33.87460339,61.2867137
Belgium,BEL,2006,6469,6.46240834,33.51005444,61.32940031
Belgium,BEL,2009,6472,6.2341065,32.24943937,59.94539153
Belgium,BEL,2007,6417,6.32940109,32.71933446,60.39130971
Belgium,BEL,2008,6584,6.34541249,33.29943434,61.47541175
Belgium,BEL,2012,6308,5.78312369,30.09397867,56.8552076
Belgium,BEL,2010,6720,6.39074863,32.98069295,61.99316322
Belgium,BEL,2011,6719,6.4424884,32.45406693,61.07827564
Belgium,BEL,2014,6527,6.23072884,29.9831684,58.13516948
Belgium,BEL,2013,6483,5.92953702,30.36711647,57.9955908
Belize,BLZ,2000,14,0.91264668,11.80664317,5.66079696
Belize,BLZ,2001,15,1.18953212,12.51065144,5.88090001
Belize,BLZ,2003,12,0.93970243,10.19919615,4.45392967
Belize,BLZ,2002,23,1.79127726,19.82716426,8.76597885
Belize,BLZ,2009,15,1.03234687,9.13792238,4.7671259
Belize,BLZ,2011,22,1.414791,12.01056675,6.66188222
Belize,BLZ,2010,16,1.02761721,8.99440507,4.96179418
Belize,BLZ,2006,20,1.43369176,15.99680872,6.86509067
Belize,BLZ,2007,18,1.2987013,13.21923915,6.01956358
Belize,BLZ,2004,11,0.84745763,9.13151535,3.97824263
Belize,BLZ,2005,23,1.68005844,18.40329451,8.1042988
Belize,BLZ,2008,19,1.46041507,12.80838423,6.19249535
Belize,BLZ,2012,16,1.04166667,8.23162432,4.73372781
Belize,BLZ,2013,18,1.11731844,8.34067221,5.20660081
Belize,BLZ,2014,15,0.94517958,7.77733443,4.24489057
Bosnia and Herzegovina,BIH,2011,1787,5.10163298,29.98429905,46.53964581
Bosnia and Herzegovina,BIH,2014,1858,5.16397999,28.55558859,48.54542695
Brazil,BRA,2000,14715,1.55485418,12.31529237,8.41865746
Brazil,BRA,2001,15197,1.58058081,12.2571742,8.57637609
Brazil,BRA,2004,17492,1.70808803,12.66613251,9.5061869
Brazil,BRA,2002,15653,1.59270407,12.16855694,8.71851187
Brazil,BRA,2005,18078,1.79554184,12.64787446,9.71271766
Brazil,BRA,2006,18715,1.81400335,12.59867596,9.94593345
Brazil,BRA,2003,16455,1.64170438,12.33390527,9.05069481
Brazil,BRA,2007,19855,1.89487387,12.89329701,10.44283056
Brazil,BRA,2008,20588,1.91491163,12.8923087,10.72122126
Brazil,BRA,2009,21069,1.91000174,12.71542337,10.86666639
Brazil,BRA,2010,21868,1.9233983,12.74700276,11.17346781
Brazil,BRA,2011,22426,1.91593664,12.56477488,11.35410105
Brazil,BRA,2014,25427,2.07222427,12.76030537,12.54021065
Brazil,BRA,2012,23501,1.98964413,12.69410942,11.79252271
Brazil,BRA,2013,24490,2.02317439,12.74746102,12.1819031
Brunei Darussalam,BRN,2000,36,3.73056995,35.10662557,10.80545676
Brunei Darussalam,BRN,2001,38,3.74753452,29.57446438,11.4167598
Brunei Darussalam,BRN,2002,41,3.93852065,35.07548748,11.91167926
Brunei Darussalam,BRN,2003,26,2.57425743,24.88323247,7.43707094
Brunei Darussalam,BRN,2007,50,4.25894378,30.97234786,13.33457789
Brunei Darussalam,BRN,2006,39,3.56164384,22.5146153,10.18276762
Brunei Darussalam,BRN,2005,51,4.75746269,34.27228013,13.78005944
Brunei Darussalam,BRN,2004,37,3.66699703,28.02175907,10.28634974
Brunei Darussalam,BRN,2009,37,3.15969257,19.34475697,9.63777591
Brunei Darussalam,BRN,2011,50,4.048583,23.68836607,11.82872013
Brunei Darussalam,BRN,2010,45,3.72516556,22.80119785,10.85907336
Brunei Darussalam,BRN,2008,50,4.58295142,28.91292492,13.17797381
Brunei Darussalam,BRN,2012,44,3.61842105,21.1879336,11.00550275
Brunei Darussalam,BRN,2014,62,4.21768707,27.2480447,15.13047595
Brunei Darussalam,BRN,2013,64,4.57142857,28.88124622,15.82509316
Bulgaria,BGR,2004,3159,2.86894923,24.00753415,40.59805471
Bulgaria,BGR,2000,2909,2.52765299,22.39463505,35.60512557
Bulgaria,BGR,2003,3086,2.75715422,24.01750495,39.44497369
Bulgaria,BGR,2001,2917,2.59593479,22.50594613,36.86198718
Bulgaria,BGR,2002,3006,2.66922401,23.44713616,38.2010192
Bulgaria,BGR,2005,3468,3.05890239,26.50652958,44.80678045
Bulgaria,BGR,2011,3357,3.10092557,25.14412888,45.26670951
Bulgaria,BGR,2007,3416,3.02290184,25.96913562,44.59667426
Bulgaria,BGR,2008,3478,3.14685631,26.4625574,45.62271796
Bulgaria,BGR,2009,3283,3.03790206,24.89680962,43.28204747
Bulgaria,BGR,2013,3624,3.47309406,26.29618998,49.88221109
Bulgaria,BGR,2010,3294,2.99006036,24.80941772,43.72011745
Bulgaria,BGR,2006,3337,2.94169502,25.55499953,43.34317874
Bulgaria,BGR,2012,3594,3.28876932,26.43157942,49.19319869
Bulgaria,BGR,2014,3485,3.19865629,25.18816498,48.24238859
Cabo Verde,CPV,2011,30,1.19000397,10.1142044,6.01374743
Canada,CAN,2000,16134,7.39881318,37.21997452,52.3987106
Canada,CAN,2001,16572,7.54857929,37.2269073,53.42144326
Canada,CAN,2002,17188,7.68683783,37.5515163,54.78668367
Canada,CAN,2004,17653,7.79092963,36.42893978,55.18381152
Canada,CAN,2003,17374,7.68186622,36.78836117,54.8609609
Canada,CAN,2005,17913,7.78379365,36.11069393,55.4590697
Canada,CAN,2006,18232,7.99372147,35.59384711,56.03469061
Canada,CAN,2008,18704,7.83850271,34.36070977,56.10475463
Canada,CAN,2009,19112,8.01617328,34.10723832,56.63470435
Canada,CAN,2007,18560,7.89058614,35.21403125,56.360621
Canada,CAN,2010,19314,8.04498594,33.36113094,56.56040355
Canada,CAN,2011,19222,7.94054711,32.23259638,55.65277371
Canada,CAN,2012,19704,7.99039725,31.95310606,56.42283682
Canada,CAN,2014,20364,7.86798598,30.85719634,57.09905669
Canada,CAN,2013,19645,7.78519288,30.83524276,55.65703233
Chile,CHL,2001,2002,2.44531031,13.98303682,12.90271604
Chile,CHL,2000,1893,2.40185754,13.6429269,12.33839425
Chile,CHL,2002,2051,2.52963159,13.79449346,13.07668016
Chile,CHL,2003,2016,2.40940817,13.08636869,12.71952217
Chile,CHL,2004,2222,2.5795816,13.94409309,13.87451779
Chile,CHL,2006,2411,2.81530611,14.14062222,14.7421163
Chile,CHL,2005,2297,2.66776614,13.96142245,14.1941519
Chile,CHL,2009,2532,2.75322133,13.46370018,14.99450498
Chile,CHL,2010,2674,2.7305218,13.64580992,15.67176181
Chile,CHL,2008,2369,2.72979731,13.03431104,14.17861754
Chile,CHL,2011,2780,2.92677791,13.82873495,16.1313009
Chile,CHL,2007,2438,2.7222582,13.83002252,14.74876733
Chile,CHL,2013,3034,3.04102477,14.00662286,17.2665896
Chile,CHL,2012,2848,2.8851901,13.67754395,16.36748968
Chile,CHL,2014,3055,2.99627305,13.64585875,17.2025849
Colombia,COL,2003,3333,1.75605901,11.3908468,8.03444828
Colombia,COL,2000,2890,1.54317692,11.08890651,7.2924611
Colombia,COL,2001,3034,1.58539389,11.16522274,7.53677088
Colombia,COL,2002,3160,1.64519925,11.25372771,7.73081876
Colombia,COL,2006,3812,1.97703486,11.615361,8.82389086
Colombia,COL,2007,3822,1.99412511,11.28965688,8.73849352
Colombia,COL,2004,3596,1.90485271,11.83527158,8.54644892
Colombia,COL,2005,3691,1.95459576,11.69693725,8.65462384
Colombia,COL,2008,3846,1.9547848,10.89044466,8.69054835
Colombia,COL,2009,3898,1.9818693,10.64626801,8.71060401
Colombia,COL,2010,3994,1.9918014,10.49964159,8.83184772
Colombia,COL,2013,4195,2.06577995,9.88197337,9.02237987
Colombia,COL,2011,3963,2.02376636,10.0568449,8.67884692
Colombia,COL,2014,4473,2.12948284,10.12458655,9.52356701
Colombia,COL,2012,4058,2.0314784,9.88118385,8.80724203
Costa Rica,CRI,2000,255,1.70637045,9.13330937,6.43553912
Costa Rica,CRI,2003,262,1.65822785,8.27273559,6.29194681
Costa Rica,CRI,2001,249,1.59523352,8.64084832,6.17242024
Costa Rica,CRI,2005,255,1.64314711,7.34142937,5.95029474
Costa Rica,CRI,2004,254,1.54172989,7.76238141,6.01161378
Costa Rica,CRI,2002,223,1.48627033,7.34848755,5.43779757
Costa Rica,CRI,2010,279,1.46934906,6.59216873,6.09519249
Costa Rica,CRI,2009,228,1.3692049,5.5685517,5.04342209
Costa Rica,CRI,2006,222,1.33405444,6.20396721,5.10883663
Costa Rica,CRI,2008,210,1.27442651,5.44561975,4.70522336
Costa Rica,CRI,2007,225,1.41172042,5.9681723,5.1082634
Costa Rica,CRI,2013,284,1.46656339,5.88138031,5.98889903
Costa Rica,CRI,2011,286,1.54946365,6.50185302,6.17299139
Costa Rica,CRI,2012,288,1.52276212,6.24921037,6.14334471
Costa Rica,CRI,2014,284,1.39970429,5.59387199,5.92234718
Croatia,HRV,2000,2478,4.93173586,40.5468058,56.5572648
Croatia,HRV,2001,2616,5.27930255,36.21815075,58.95264408
Croatia,HRV,2002,2598,5.13753485,35.06797854,58.47137198
Croatia,HRV,2003,2640,5.021398,35.27463908,59.43536404
Croatia,HRV,2004,2635,5.29584372,34.53448292,59.35486778
Croatia,HRV,2005,2640,5.09750917,34.29746403,59.43341049
Croatia,HRV,2009,2799,5.34017629,34.8703486,63.195997
Croatia,HRV,2006,2717,5.3932272,35.30399771,61.19339048
Croatia,HRV,2008,2750,5.27314912,34.78372081,62.0136439
Croatia,HRV,2007,2753,5.25712758,35.14636107,62.06066661
Croatia,HRV,2010,2768,5.31326781,34.2205099,62.65588991
Croatia,HRV,2011,2838,5.56263353,34.85102547,64.45915634
Croatia,HRV,2012,2790,5.39547476,33.75842896,65.37696734
Croatia,HRV,2013,2802,5.56106855,33.83129268,65.84127741
Croatia,HRV,2014,2827,5.5606916,33.97021191,66.69987111
Cuba,CUB,2003,4277,5.45299232,31.36846574,38.08825629
Cuba,CUB,2000,3699,4.83763389,28.83098066,33.24516489
Cuba,CUB,2002,4061,5.49652829,30.33853488,36.26005846
Cuba,CUB,2005,4484,5.28623974,31.14892139,39.81678595
Cuba,CUB,2004,4383,5.40377265,31.1450829,38.95873601
Cuba,CUB,2001,3741,4.71188362,28.59007373,33.50749288
Cuba,CUB,2006,4568,5.65129715,30.98682432,40.56388777
Cuba,CUB,2009,5080,5.84311019,32.01697181,45.24923555
Cuba,CUB,2013,5223,5.66037736,29.86290683,46.29201656
Cuba,CUB,2008,5084,5.88269326,32.72819199,45.24350913
Cuba,CUB,2012,5118,5.72662579,29.95830165,45.46462394
Cuba,CUB,2011,4994,5.73732825,30.07099333,44.44376809
Cuba,CUB,2007,4849,5.91868371,32.13257607,43.09792392
Cuba,CUB,2010,5128,5.63114259,31.6417901,45.68035581
Cuba,CUB,2014,5454,5.66178761,30.34601226,48.2360158
Cyprus,CYP,2000,55,1.02439933,5.05141678,5.83065653
Cyprus,CYP,2005,176,3.24423963,16.67436197,23.69298203
Cyprus,CYP,2010,187,3.67026497,15.09850563,22.40986322
Cyprus,CYP,2006,155,3.02321045,14.08828668,20.52257086
Cyprus,CYP,2009,217,4.18757237,18.07685993,26.69629094
Cyprus,CYP,2004,166,3.17703349,16.03101415,22.6729805
Cyprus,CYP,2007,160,2.9739777,14.49499999,20.73376805
Cyprus,CYP,2008,176,3.38852522,15.00095785,22.24609745
Cyprus,CYP,2011,231,4.40167683,18.25526698,27.20963433
Cyprus,CYP,2013,234,4.43854325,17.24991011,27.14837632
Cyprus,CYP,2014,248,4.47734248,17.73108025,29.06820009
Cyprus,CYP,2012,248,4.50909091,18.91445933,28.7056307
Czechia,CZE,2003,5568,5.00323485,34.36320336,54.57940092
Czechia,CZE,2000,5726,5.25316282,37.21757698,55.74103994
Czechia,CZE,2001,5635,5.22945571,35.92178609,54.77530848
Czechia,CZE,2004,5689,5.30804184,34.64294304,55.7366799
Czechia,CZE,2002,5563,5.13936236,34.98185295,54.53507744
Czechia,CZE,2006,5529,5.29389799,32.44221045,53.85400451
Czechia,CZE,2005,5543,5.13535548,33.15461046,54.16210837
Czechia,CZE,2008,5411,5.15588672,30.33844234,51.88072668
Czechia,CZE,2009,5455,5.07815045,29.93692239,51.99451136
Czechia,CZE,2007,5476,5.23338048,31.51814443,53.04819316
Czechia,CZE,2010,5572,5.21507993,29.99665388,52.97964382
Czechia,CZE,2011,5590,5.23173106,29.44309447,53.25497453
Czechia,CZE,2013,5426,4.97068523,27.22078668,51.62349027
Czechia,CZE,2012,5596,5.17242973,28.82021792,53.24814645
Czechia,CZE,2014,5259,4.97705011,26.01014962,49.96777606
Denmark,DNK,2000,3430,6.01290232,39.21697014,64.26417334
Denmark,DNK,2002,3324,5.69207322,37.18536749,61.85043322
Denmark,DNK,2001,3443,5.9741116,38.63442044,64.29406683
Denmark,DNK,2003,3430,5.97790094,38.00632824,63.66974596
Denmark,DNK,2005,3605,6.58904811,38.6511769,66.56230878
Denmark,DNK,2004,3609,6.48669051,39.10068658,66.81876932
Denmark,DNK,2006,3785,6.85464885,39.67859423,69.64676303
Denmark,DNK,2009,3600,6.60174946,35.68063968,65.22399642
Denmark,DNK,2007,3394,6.13954161,35.05354436,62.19061589
Denmark,DNK,2011,3567,6.83267886,33.67545562,64.07566497
Denmark,DNK,2012,3745,7.20039992,34.46851335,67.02958699
Denmark,DNK,2008,3663,6.75020732,36.97759236,66.73319947
Denmark,DNK,2014,3716,7.28727472,32.97483667,65.88980763
Denmark,DNK,2013,3681,7.05415661,33.17874196,65.62919877
Denmark,DNK,2010,3692,6.83362023,35.7571886,66.59669084
Dominica,DMA,2000,8,1.87793427,,
Dominica,DMA,2001,8,1.56862745,,
Dominica,DMA,2002,14,2.35690236,,
Dominica,DMA,2005,9,1.8404908,,
Dominica,DMA,2004,5,0.89766607,,
Dominica,DMA,2006,8,1.48423006,,
Dominica,DMA,2003,11,1.97486535,,
Dominica,DMA,2007,11,1.94003527,,
Dominica,DMA,2008,4,0.73394495,,
Dominica,DMA,2009,8,1.43112701,,
Dominica,DMA,2010,14,2.37691002,,
Dominica,DMA,2014,8,1.3029316,,
Dominica,DMA,2011,5,0.8291874,,
Dominica,DMA,2012,7,1.13268608,,
Dominica,DMA,2013,10,1.61550889,,
Dominican Republic,DOM,2002,421,1.61000421,7.59646908,4.82522873
Dominican Republic,DOM,2000,328,1.37140946,6.369621,3.87188728
Dominican Republic,DOM,2001,401,1.55818924,7.32267163,4.66354934
Dominican Republic,DOM,2003,399,1.40904757,6.81819129,4.50831309
Dominican Republic,DOM,2004,411,1.34068372,6.86464259,4.5796709
Dominican Republic,DOM,2005,439,1.46377247,7.1204456,4.82563041
Dominican Republic,DOM,2006,411,1.62226169,6.42218467,4.45833604
Dominican Republic,DOM,2007,411,1.67659297,6.24346235,4.40096496
Dominican Republic,DOM,2011,550,1.71617574,7.29364413,5.60468943
Dominican Republic,DOM,2010,482,1.65715464,6.61294566,4.97157281
Dominican Republic,DOM,2009,429,1.67932357,6.14727035,4.47960511
Dominican Republic,DOM,2008,399,1.6117956,5.85559782,4.21861742
Dominican Republic,DOM,2012,508,1.40650091,6.5187123,5.11533881
Dominican Republic,DOM,2013,544,1.44738593,6.75910828,5.41388774
Dominican Republic,DOM,2014,533,1.18618418,6.38931718,5.24338814
Ecuador,ECU,2001,489,0.88599797,5.89078726,3.78639263
Ecuador,ECU,2000,449,0.79701784,5.66337729,3.54069588
Ecuador,ECU,2002,532,0.95802345,6.19993534,4.04763888
Ecuador,ECU,2007,610,1.05225026,5.90722263,4.26676157
Ecuador,ECU,2005,607,1.06873724,6.35230991,4.39032777
Ecuador,ECU,2003,496,0.92741483,5.48752604,3.7098874
Ecuador,ECU,2008,634,1.05754796,5.86092925,4.36166335
Ecuador,ECU,2006,578,0.9983591,5.79136794,4.11113318
Ecuador,ECU,2004,568,1.03844818,6.15258503,4.1775801
Ecuador,ECU,2009,668,1.12026028,6.00390453,4.52132686
Ecuador,ECU,2010,706,1.14580628,6.15659996,4.70318098
Ecuador,ECU,2012,755,1.18877045,6.10029547,4.87912028
Ecuador,ECU,2013,642,1.01736815,5.02090078,4.08722625
Ecuador,ECU,2014,717,1.13843858,5.37106197,4.49477929
Ecuador,ECU,2011,743,1.1925398,6.20726691,4.8740859
Egypt,EGY,2000,1364,0.35693912,2.97826029,1.98164909
Egypt,EGY,2001,1702,0.41870752,3.62902011,2.42613748
Egypt,EGY,2002,1717,0.40926459,3.64785397,2.40190105
Egypt,EGY,2003,1916,0.43840581,3.94965419,2.63092501
Egypt,EGY,2009,2847,0.59736755,5.02990934,3.50897527
Egypt,EGY,2010,3031,0.61654689,5.26224733,3.66234264
Egypt,EGY,2011,3147,0.63824739,5.39824731,3.72297155
Egypt,EGY,2014,3462,0.65091828,6.19058302,3.98796505
Egypt,EGY,2012,3235,0.61126196,5.36599274,3.74324929
Egypt,EGY,2013,3396,0.66434134,5.51446954,3.84142707
El Salvador,SLV,2001,207,0.69993914,5.09592091,3.49248845
El Salvador,SLV,2002,212,0.77158247,4.95671715,3.55577263
El Salvador,SLV,2000,188,0.66744772,4.73398805,3.19296949
El Salvador,SLV,2003,223,0.75863242,5.17534227,3.72033926
El Salvador,SLV,2008,234,0.74064696,4.71295776,3.81619384
El Salvador,SLV,2006,230,0.7312498,4.89796743,3.78326871
El Salvador,SLV,2004,208,0.69199548,4.61324264,3.45297161
El Salvador,SLV,2005,223,0.72091294,4.93376578,3.68465743
El Salvador,SLV,2007,219,0.69858688,4.54549991,3.5867477
El Salvador,SLV,2011,242,0.72975092,4.54613817,3.89658402
El Salvador,SLV,2010,215,0.65979255,4.14530388,3.47678438
El Salvador,SLV,2009,190,0.57799951,3.7306201,3.08557468
El Salvador,SLV,2012,257,0.80007472,4.65021966,4.11996108
El Salvador,SLV,2013,259,0.75627062,4.53970508,4.13337227
El Salvador,SLV,2014,245,0.65378663,4.20884523,3.89189862
Estonia,EST,2005,640,3.6960037,27.27746343,47.24031666
